sent1,sent2
Entrapment should be legalized,Entrapment should not be legalized
We should ban human cloning,We should not ban human cloning
We should abandon marriage,We should not abandon marriage
We should ban naturopathy,We should not ban naturopathy
We should ban fast food,We should not ban fast food
We should end the use of economic sanctions,We should not end the use of economic sanctions
We should abolish capital punishment,We should not abolish capital punishment
We should ban factory farming,We should not ban factory farming
We should fight for the abolition of nuclear weapons,We should not fight for the abolition of nuclear weapons
We should prohibit school prayer,We should not prohibit school prayer
We should abolish the three-strikes laws,We should not abolish the three-strikes laws
The use of public defenders should be mandatory,The use of public defenders should not be mandatory
We should adopt an austerity regime,We should not adopt an austerity regime
We should adopt gender-neutral language,We should not adopt gender-neutral language
We should end affirmative action,We should not end affirmative action
We should subsidize journalism,We should not subsidize journalism
Payday loans should be banned,Payday loans should not be banned
Surrogacy should be banned,Surrogacy should not be banned
We should cancel pride parades,We should not cancel pride parades
We should ban cosmetic surgery for minors,We should not ban cosmetic surgery for minors
We should legalize prostitution,We should not legalize prostitution
We should subsidize embryonic stem cell research,We should not subsidize embryonic stem cell research
We should ban algorithmic trading,We should not ban algorithmic trading
We should legalize organ trade,We should not legalize organ trade
We should legalize cannabis,We should not legalize cannabis
We should ban telemarketing,We should not ban telemarketing
We should abolish the right to keep and bear arms,We should not abolish the right to keep and bear arms
We should ban the Church of Scientology,We should not ban the Church of Scientology
We should legalize polygamy,We should not legalize polygamy
Intelligence tests bring more harm than good,Intelligence tests bring more good than harm
We should subsidize Wikipedia,We should not subsidize Wikipedia
We should introduce compulsory voting,We should not introduce compulsory voting
Social media brings more harm than good,Social media brings more good than harm
We should abolish zoos,We should not abolish zoos
We should adopt a multi-party system,We should not adopt a multi-party system
We should stop the development of autonomous cars,We should not stop the development of autonomous cars
We should abolish the Olympic Games,We should not abolish the Olympic Games
We should close Guantanamo Bay detention camp,We should not close Guantanamo Bay detention camp
We should subsidize space exploration,We should not subsidize space exploration
We should abandon the use of school uniform,We should not abandon the use of school uniform
We should abolish intellectual property rights,We should not abolish intellectual property rights
Foster care brings more harm than good,Foster care brings more good than harm
We should ban whaling,We should not ban whaling
We should end racial profiling,We should not end racial profiling
We should limit executive compensation,We should not limit executive compensation
We should adopt a zero-tolerance policy in schools,We should not adopt a zero-tolerance policy in schools
We should subsidize stay-at-home dads,We should not subsidize stay-at-home dads
We should ban private military companies,We should not ban private military companies
We should adopt libertarianism,We should not adopt libertarianism
We should abolish safe spaces,We should not abolish safe spaces
We should ban cosmetic surgery,We should not ban cosmetic surgery
Holocaust denial should be a criminal offence,Holocaust denial should not be a criminal offence
We should fight urbanization,We should not fight urbanization
Blockade of the Gaza Strip should be ended,Blockade of the Gaza Strip should not be ended
We should ban the use of child actors,We should not ban the use of child actors
